n,beta,Itinerary_String
21,1.9304656176791,"[0, 5, 9, 13, 15, 17]"
21,1.9304817901009,"[0, 5, 9, 13, 15, 18]"
21,1.9304901657102,"[0, 5, 9, 13, 15, 19]"
21,1.9304053123383,"[0, 5, 9, 13, 16, 17]"
21,1.9304215004178,"[0, 5, 9, 13, 16, 18]"
21,1.9304298843957,"[0, 5, 9, 13, 16, 19]"
21,1.9304342269479,"[0, 5, 9, 13, 16, 20]"
21,1.9303902470848,"[0, 5, 9, 13, 17, 18]"
21,1.9303986355409,"[0, 5, 9, 13, 17, 19]"
21,1.9304029804825,"[0, 5, 9, 13, 17, 20]"
21,1.9306070149178,"[0, 5, 9, 14, 18, 19]"
21,1.9306113455011,"[0, 5, 9, 14, 18, 20]"
21,1.9792697037923,"[0, 6, 7, 8, 9, 15]"
21,1.9769981385075,"[0, 6, 7, 8, 10, 15]"
21,1.9770365323006,"[0, 6, 7, 8, 10, 16]"
21,1.9758319429811,"[0, 6, 7, 8, 11, 15]"
21,1.9758708713175,"[0, 6, 7, 8, 11, 16]"
21,1.9758905646667,"[0, 6, 7, 8, 11, 17]"
21,1.9752366553421,"[0, 6, 7, 8, 12, 15]"
