orbit,Itinerary_String,roots
16,"[0, 3, 5, 6, 8, 9, 10, 11, 13, 15]","[1.6288818721383054, 1.0598196154807982]"
16,"[0, 3, 5, 6, 8, 9, 11, 12, 13, 14]","[1.6207436637606305, 1.2111533034486057]"
16,"[0, 3, 5, 6, 8, 9, 11, 12, 13, 15]","[1.6230553494820081, 1.1090167984616364]"
16,"[0, 3, 5, 6, 8, 9, 11, 12, 14, 15]","[1.6192600794311183, 1.2224464471111793]"
16,"[0, 3, 5, 6, 8, 9, 11, 13, 14, 15]","[1.6253073029963252, 1.0662200266982298]"
16,"[0, 2, 3, 4, 5, 6, 8, 9, 10, 12, 14, 15]","[1.283862955960216, 1.000005665106188]"
16,"[0, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]","[1.630975497587988, 1.0000033024998443]"
17,"[0, 5, 9, 12]","[1.929969010381774, 1.032856969003538]"
17,"[0, 6, 9, 11]","[1.9690386910096453, 1.023572869169438]"
17,"[0, 6, 10, 11]","[1.9665814375417834, 1.0684547066156544]"
17,"[0, 6, 10, 12]","[1.967221306005376, 1.0258897143582204]"
17,"[0, 6, 11, 12]","[1.965959233105521, 1.0711108577959563]"
17,"[0, 6, 11, 13]","[1.9662871176963734, 1.0285898920814418]"
17,"[0, 7, 9, 10]","[1.9856533396340437, 1.0198331819814042]"
17,"[0, 7, 10, 11]","[1.9845687185253627, 1.0206265526038107]"
17,"[0, 7, 11, 12]","[1.9840187934964733, 1.0214649241481786]"
17,"[0, 7, 12, 13]","[1.983740627168014, 1.022349309934946]"
17,"[0, 7, 13, 14]","[1.9836001214373318, 1.0232801388269401]"
17,"[0, 4, 5, 6, 10, 13]","[1.8837996724065023, 1.043888814107738]"
17,"[0, 4, 5, 7, 11, 13]","[1.907607336757625, 1.032613620058284]"
17,"[0, 4, 6, 7, 10, 13]","[1.8581684696745144, 1.0485521255462926]"
17,"[0, 4, 6, 7, 11, 14]","[1.8559219926692534, 1.062904468354702]"
17,"[0, 4, 6, 8, 11, 13]","[1.8717909413782174, 1.0378651110307615]"
17,"[0, 4, 6, 9, 12, 13]","[1.8785786079852445, 1.0311272534059812]"
17,"[0, 4, 7, 8, 10, 13]","[1.8431286962454827, 1.054098201916039]"
17,"[0, 4, 7, 8, 11, 13]","[1.8401214127630365, 1.1341761875313252]"
17,"[0, 4, 7, 8, 11, 14]","[1.840610284222318, 1.0717603626940926]"
17,"[0, 4, 7, 9, 11, 13]","[1.8500384118892308, 1.0449260262123905]"
17,"[0, 4, 7, 9, 12, 13]","[1.8485228741858706, 1.1109118493245118]"
17,"[0, 4, 7, 9, 12, 14]","[1.8489689623587506, 1.0525870160395356]"
17,"[0, 4, 7, 10, 12, 13]","[1.853622391575386, 1.0385112877328886]"
17,"[0, 4, 7, 10, 13, 14]","[1.853261640976914, 1.0411877783588495]"
17,"[0, 5, 6, 7, 10, 12]","[1.9484682656850074, 1.027396605216894]"
17,"[0, 5, 6, 7, 11, 12]","[1.9470422049399645, 1.075217867656232]"
17,"[0, 5, 6, 7, 11, 13]","[1.9474201412563903, 1.030430262909271]"
